date Tue Oct 08 12:30:36.905154 2024
Begin Triggerblock
1	 1728390636.904749	 1	 7E8	 Tx -	 8	 00	00	00	16	00	00	00	00
2	 1728390637.004756	 1	 7E8	 Tx -	 8	 00	00	00	14	00	00	00	00
3	 1728390637.104758	 1	 7E8	 Tx -	 8	 00	00	00	86	00	00	00	00
4	 1728390637.2047598	 1	 7E8	 Tx -	 8	 00	00	00	8D	00	00	00	00
5	 1728390637.3047621	 1	 7E8	 Tx -	 8	 00	00	00	F6	00	00	00	00
6	 1728390637.404764	 1	 7E8	 Tx -	 8	 00	00	00	59	00	00	00	00
7	 1728390637.504766	 1	 7E8	 Tx -	 8	 00	00	00	54	00	00	00	00
8	 1728390637.604768	 1	 7E8	 Tx -	 8	 00	00	00	50	00	00	00	00
9	 1728390637.704769	 1	 7E8	 Tx -	 8	 00	00	00	42	00	00	00	00
10	 1728390637.8047712	 1	 7E8	 Tx -	 8	 00	00	00	95	00	00	00	00
11	 1728390637.904773	 1	 7E8	 Tx -	 8	 00	00	00	98	00	00	00	00
12	 1728390638.0047748	 1	 7E8	 Tx -	 8	 00	00	00	14	00	00	00	00
13	 1728390638.104777	 1	 7E8	 Tx -	 8	 00	00	00	85	00	00	00	00
14	 1728390638.204778	 1	 7E8	 Tx -	 8	 00	00	00	B3	00	00	00	00
15	 1728390638.30478	 1	 7E8	 Tx -	 8	 00	00	00	41	00	00	00	00
16	 1728390638.404782	 1	 7E8	 Tx -	 8	 00	00	00	1C	00	00	00	00
17	 1728390638.5047839	 1	 7E8	 Tx -	 8	 00	00	00	9C	00	00	00	00
18	 1728390638.6047862	 1	 7E8	 Tx -	 8	 00	00	00	87	00	00	00	00
19	 1728390638.704787	 1	 7E8	 Tx -	 8	 00	00	00	E3	00	00	00	00
20	 1728390638.804789	 1	 7E8	 Tx -	 8	 00	00	00	38	00	00	00	00
21	 1728390638.904791	 1	 7E8	 Tx -	 8	 00	00	00	D7	00	00	00	00
22	 1728390639.004793	 1	 7E8	 Tx -	 8	 00	00	00	51	00	00	00	00
23	 1728390639.104795	 1	 7E8	 Tx -	 8	 00	00	00	FC	00	00	00	00
24	 1728390639.2047958	 1	 7E8	 Tx -	 8	 00	00	00	BB	00	00	00	00
25	 1728390639.3047981	 1	 7E8	 Tx -	 8	 00	00	00	A6	00	00	00	00
26	 1728390639.4048	 1	 7E8	 Tx -	 8	 00	00	00	E7	00	00	00	00
